time		value
1.450973e+03		4.700000e-02
1.451024e+03		4.600000e-02
1.451075e+03		4.500000e-02
1.451126e+03		4.400000e-02
1.451178e+03		4.300000e-02
1.451229e+03		4.200000e-02
1.451280e+03		4.100000e-02
1.451331e+03		4.000000e-02
1.451382e+03		3.900000e-02
1.451434e+03		3.800000e-02
1.451485e+03		3.700000e-02
1.451536e+03		3.600000e-02
1.451587e+03		3.500000e-02
1.451638e+03		3.400000e-02
1.451690e+03		3.300000e-02
1.451741e+03		3.200000e-02
1.451792e+03		3.100000e-02
1.451843e+03		3.000000e-02
1.451894e+03		2.900000e-02
1.451946e+03		2.800000e-02
1.451997e+03		2.700000e-02
1.452048e+03		2.600000e-02
1.452099e+03		2.500000e-02
1.452150e+03		2.400000e-02
1.452202e+03		2.300000e-02
1.452253e+03		2.200000e-02
1.452304e+03		2.100000e-02
1.452355e+03		2.000000e-02
1.452406e+03		1.900000e-02
1.452458e+03		1.800000e-02
1.452509e+03		1.700000e-02
1.452560e+03		1.600000e-02
1.452611e+03		1.500000e-02
1.452662e+03		1.400000e-02
1.452714e+03		1.300000e-02
1.452765e+03		1.200000e-02
1.452816e+03		1.100000e-02
1.452867e+03		1.000000e-02
1.452918e+03		9.000000e-03
1.452970e+03		8.000000e-03
1.453021e+03		7.000000e-03
1.453072e+03		6.000000e-03
1.453123e+03		5.000000e-03
1.453174e+03		4.000000e-03
1.453226e+03		3.000000e-03
1.453277e+03		2.000000e-03
1.453328e+03		1.000000e-03
1.453379e+03		-6.938894e-18
1.474230e+03		1.000000e-03
1.485030e+03		2.000000e-03
1.485830e+03		3.000000e-03
1.486630e+03		4.000000e-03
1.487430e+03		5.000000e-03
1.488230e+03		6.000000e-03
1.489030e+03		7.000000e-03
1.489830e+03		8.000000e-03
1.490630e+03		9.000000e-03
1.491430e+03		1.000000e-02
1.492230e+03		1.100000e-02
1.493030e+03		1.200000e-02
1.493830e+03		1.300000e-02
1.494630e+03		1.400000e-02
1.495430e+03		1.500000e-02
1.496230e+03		1.600000e-02
1.497030e+03		1.700000e-02
1.497830e+03		1.800000e-02
1.498630e+03		1.900000e-02
1.499430e+03		2.000000e-02
1.500230e+03		2.100000e-02
1.501030e+03		2.200000e-02
1.501830e+03		2.300000e-02
1.502630e+03		2.400000e-02
1.503430e+03		2.500000e-02
1.504230e+03		2.600000e-02
1.505030e+03		2.700000e-02
1.505830e+03		2.800000e-02
1.506630e+03		2.900000e-02
1.507430e+03		3.000000e-02
1.508230e+03		3.100000e-02
1.509030e+03		3.200000e-02
1.509830e+03		3.300000e-02
1.510630e+03		3.400000e-02
1.511430e+03		3.500000e-02
1.512230e+03		3.600000e-02
1.513030e+03		3.700000e-02
1.513830e+03		3.800000e-02
1.514630e+03		3.900000e-02
1.515430e+03		4.000000e-02
